Date/Time,Word Count,en-001,ru
2022.03.31-06.22.39,1991,0,1991
2022.03.31-07.08.58,685,0,685
2022.04.02-01.52.22,730,0,730
2022.04.02-01.53.04,732,0,732
2022.04.04-05.29.43,759,0,759
2022.04.05-23.48.15,759,710,759
2022.04.06-00.05.39,759,759,759
2022.04.06-00.26.38,806,759,806
2022.04.06-00.57.01,806,806,806
2022.04.06-01.01.25,814,806,814
2022.04.06-01.03.12,814,814,814
2022.04.07-03.46.17,858,787,858
2022.04.07-03.54.35,858,851,858
2022.04.07-03.55.57,858,858,858
2022.04.07-05.26.19,870,854,870
2022.04.07-05.27.41,870,870,870
2022.04.08-01.08.25,872,839,872
2022.04.08-01.12.52,872,872,872
2022.04.10-08.34.26,993,852,993
2022.04.10-08.44.37,993,992,993
2022.04.10-09.46.08,1003,990,1003
2022.04.10-09.47.24,1003,1000,1003
2022.04.10-10.15.31,1013,1000,1013
2022.04.10-10.20.23,1013,1010,1013
2022.04.10-10.29.22,1015,1010,1015
2022.04.10-10.30.04,1013,1010,1013
2022.04.10-10.31.06,1013,1013,1013
2022.04.14-05.22.31,1020,1013,1020
2022.04.14-05.23.37,1020,1020,1020
2022.04.15-13.35.24,861,640,861
2022.04.15-13.44.19,861,774,861
2022.04.15-13.50.10,861,853,861
2022.04.15-13.50.34,861,861,861
2022.06.28-18.33.40,876,793,876
2022.06.28-19.02.48,876,771,876
2022.06.29-04.05.26,901,859,901
2023.01.04-01.24.08,911,859,911
2023.01.04-01.30.22,911,911,911
2023.01.05-01.11.17,965,908,965
2023.01.05-01.12.24,965,910,965
2023.01.05-04.02.32,969,908,969
2023.01.05-04.07.00,969,969,969
2023.01.05-05.00.10,970,969,970
2023.01.05-05.39.50,979,958,979
2023.01.05-05.40.58,979,979,979
2023.01.24-20.57.32,996,971,996
2023.01.24-20.59.37,996,992,996
2023.01.24-21.00.14,996,996,996
